Dataset:	Vertical 3He, Q2=1.0
Runs:	20596-20789
Run #	Asymmetry	Stat. Error	# HePos Events	HePos Charge	PosHe LT	# Neg Events	HeNeg Charge	NegHe LT
20596	-0.0159733	0.0130148	3370	0.00253	0.9308	12883	0.0094	0.9276
20597	-0.00730974	0.0115126	11280	0.00813	0.9309	5398	0.00383	0.9319
20598	0.00666096	0.010898	7797	0.00548	0.9279	9119	0.00647	0.9315
20599	0.0078296	0.0112232	6388	0.00454	0.9299	10129	0.00734	0.9264
20600	0.00544868	0.00817254	20845	0.01512	0.9233	11271	0.00833	0.9161
20601	0.00438271	0.0109104	9666	0.00702	0.9148	7368	0.00541	0.9128
20609	0.00458183	0.00797317	11709	0.00816	0.9203	22242	0.01551	0.9282
20610	0.00908957	0.00769679	17265	0.01207	0.9287	16503	0.01173	0.9302
20611	0.00583624	0.0077906	19688	0.01377	0.9273	13989	0.0099	0.9272
20612	0.000108839	0.00781008	16479	0.0117	0.9246	16310	0.01169	0.9161
20613	-0.0177347	0.00774419	14507	0.01041	0.928	19340	0.01338	0.929
20614	0.00546831	0.0078924	20439	0.01441	0.927	12941	0.00925	0.9244
20615	-0.00855597	0.00773833	17913	0.01282	0.9289	15601	0.01097	0.9294
20642	-0.0192089	0.0128471	3481	0.00248	0.9214	13048	0.00893	0.923
20643	0.00130057	0.00775142	15216	0.01075	0.9282	18281	0.01297	0.9267
20646	0.00491981	0.00770415	16919	0.01189	0.9265	16776	0.01186	0.9301
20647	0.00756238	0.00767206	15947	0.01109	0.9293	18133	0.01279	0.9302
20648	0.190884	0.0077103	11994	0.00331	0.9215	21171	0.00854	0.9279
20649	0.00792337	0.00776602	18214	0.01289	0.9249	15154	0.01085	0.9288
20650	0.0131126	0.00776324	19061	0.01333	0.9286	14565	0.01047	0.9274
20651	0.00542314	0.00769847	17025	0.01194	0.93	16721	0.01187	0.9288
20652	0.00523651	0.00775409	15611	0.01107	0.9294	17754	0.01274	0.9281
20653	0.00747887	0.00776937	14843	0.01043	0.9276	18604	0.01331	0.9248
20654	0.00908698	0.00773054	18415	0.01289	0.9314	15267	0.01092	0.9282
20655	-0.00611461	0.00772331	17739	0.01266	0.9284	15866	0.01117	0.9297
20656	-0.0110385	0.00771977	17649	0.01261	0.9261	15966	0.01112	0.9293
20657	0.013395	0.0077543	15551	0.01092	0.9242	17814	0.01277	0.9299
20658	-0.00176682	0.00778334	14156	0.01004	0.9263	19496	0.01374	0.9289
20659	-0.027568	0.00770636	15811	0.01153	0.9302	17913	0.01235	0.9311
20660	0.00692986	0.00770089	18692	0.013	0.9295	15286	0.01079	0.9286
20662	-0.00222198	0.00769464	16502	0.01162	0.9302	17291	0.01217	0.9265
20663	-0.00167155	0.00768542	16090	0.01128	0.93	17838	0.0125	0.9273
20664	0.0130064	0.00774459	16633	0.01164	0.9307	16701	0.01205	0.9265
20665	-0.0134842	0.00774297	16067	0.01163	0.9262	17315	0.01215	0.93
20666	-0.00200029	0.00772701	19215	0.01347	0.9276	14728	0.01028	0.9279
20667	0.0168462	0.00789408	21398	0.01481	0.9313	12466	0.009	0.9234
20668	-0.0109099	0.00771829	16450	0.0118	0.9292	17125	0.01201	0.9299
20669	0.00553139	0.00771347	15786	0.01097	0.929	17929	0.01271	0.9208
20670	0.00264251	0.00771901	15653	0.01106	0.9291	18040	0.01281	0.9294
20671	0.0026742	0.00780354	18152	0.01302	0.9287	14927	0.01077	0.9282
20672	-0.00843361	0.00868692	11634	0.00828	0.9306	15227	0.01068	0.9285
20673	-0.00363036	0.00775879	19578	0.01379	0.9276	14271	0.00999	0.9266
20674	0.00526674	0.00775312	16634	0.01186	0.9292	16636	0.01196	0.9313
20682	0.00139404	0.00770649	15365	0.01079	0.9285	18533	0.01303	0.93
20683	-0.00356467	0.00950377	10102	0.00724	0.9162	12187	0.00855	0.9293
20684	-0.00677674	0.00843347	24101	0.01691	0.9246	9199	0.00654	0.9002
20685	0.0115989	0.00768926	16790	0.01167	0.9283	17029	0.01211	0.9286
20686	0.0156157	0.00769796	16282	0.01132	0.9298	17484	0.01254	0.9299
20687	0.00247445	0.0077096	16003	0.01128	0.9298	17710	0.01256	0.9287
20688	-0.00210691	0.0077625	15139	0.01083	0.9286	18273	0.01301	0.9291
20689	-0.00299513	0.00782664	18958	0.0136	0.9261	14204	0.01012	0.9269
20691	-0.000814412	0.0077185	16763	0.01194	0.9306	16808	0.01195	0.9308
20692	-0.0123089	0.00771496	16531	0.01189	0.9295	17067	0.01195	0.9316
20693	-0.0019132	0.00780952	18589	0.01335	0.9242	14570	0.01039	0.9272
