0.530303	0.975437	0.0225199	0.0228829
0.681818	0.950933	0.010491	0.0228798
0.833333	0.975324	0.0085539	0.0223268
0.984848	0.995306	0.00800311	0.0214045
1.136360	1.00728	0.00785473	0.0245978
1.287880	1.03186	0.0072034	0.0219763
1.439390	1.02284	0.00667009	0.02001
1.590910	1.01265	0.00653109	0.0194181
1.742420	1.0136	0.00662985	0.0192848
1.893940	1.01669	0.00635229	0.0193804
2.045450	1.00001	0.00649555	0.0211262
2.196970	0.991865	0.00712071	0.0211519
2.348480	1.0016	0.00836382	0.021443
2.50000	1.02119	0.00985659	0.0225447
2.65152	1.03442	0.0107656	0.0221549
2.80303	1.00121	0.0113388	0.0212338
2.95455	0.995414	0.0122915	0.0212774
3.10606	1.00185	0.0142447	0.0206032
3.25758	0.977922	0.0154287	0.0197722
3.40909	0.996698	0.01718	0.020221
3.56061	0.991829	0.0184284	0.0181868
3.71212	0.974237	0.0202512	0.0184637
3.86364	0.979143	0.0230183	0.0177399
4.01515	1.02848	0.0252436	0.017951
4.16667	0.919278	0.0264864	0.0172476
4.31818	0.907946	0.029367	0.0165242
4.46970	0.990253	0.038589	0.0168603
4.62121	1.10739	0.0988585	0.0142526
4.77273	1.09205	0.130194	0.0142246 

